session,total,tool_calls,tool_outputs,real_user_messages,setup_context,user_input,assistant_output,edit_diff_input,other_tool_call_input,tool_output,reasoning_summary,compaction_summary,other
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-02-26T18-52-59-019c9a1d-f2e5-7943-b9ea-c8a6e6337c8a.jsonl,7503,0,0,2,7065,109,307,0,0,0,22,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-03-04T16-44-22-019cb88e-5834-7493-94b2-17cc8e72a337.jsonl,8368,0,0,2,7097,641,606,0,0,0,24,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-03-06T13-08-30-019cc215-6f96-7223-b966-aeceabcc17d4.jsonl,37390,28,28,1,10485,2079,1114,0,1399,20227,2086,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-03-19T20-22-11-019d0695-25cc-7102-8819-f4bed0f45feb.jsonl,14162,7,7,2,10541,2257,470,0,312,578,4,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-03-21T11-57-19-019d0f13-a84a-7142-ac40-e0736ef53dd2.jsonl,15386,9,9,2,7888,194,214,0,356,6705,6,0,23
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-03-21T12-25-49-019d0f2d-bfcc-7612-b965-4fbffdcc9791.jsonl,8920,0,0,1,8482,42,395,0,0,0,1,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-04-17T12-35-47-019d9a42-9453-7e32-a36b-35eefb49f3dd.jsonl,545092,40,40,5,12499,222,2461,0,1612,528280,18,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-04-20T15-50-25-019daa67-d723-7de1-8c99-e6c22c628506.jsonl,87961,75,75,11,15766,4525,3102,1450,6225,54628,2265,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-04-21T21-49-09-019db0d6-a3eb-7680-82d4-ba4b45bf574a.jsonl,132750,53,53,2,15486,2228,1505,2123,3283,107160,865,0,100
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-04-22T00-32-18-019db16b-ff6e-71b3-98c2-6f1047ee4835.jsonl,68013,43,43,2,15486,2239,1247,2398,3029,42827,604,0,183
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-04-22T06-31-39-019db2b4-ff4a-7411-8197-70138845bdf8.jsonl,76525,29,29,1,15572,526,846,2210,2055,54375,941,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-04-22T09-04-57-019db341-56c8-7122-9488-84dda1841cbd.jsonl,38280,16,16,1,15486,732,401,0,1068,20323,270,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-04-22T18-53-02-019db55b-c23d-7b70-93e0-f35aa5e6a43d.jsonl,157573,48,48,2,15486,2239,1185,2985,2949,131199,1419,0,111
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-04-23T06-31-42-019db7db-6647-7e32-af04-14bd1a44b4e2.jsonl,68326,40,40,1,15572,536,984,1928,2706,45660,940,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-04-23T08-09-03-019db834-85ac-7461-ab31-72871465eaa6.jsonl,98718,39,39,2,15486,2239,1204,2737,2870,73639,432,0,111
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-04-23T17-11-34-019dba25-3920-7403-91bc-9847bca65790.jsonl,96539,6,6,2,13791,80524,603,0,291,1325,5,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-04-25T02-02-39-019dc131-cc0c-7063-a114-9388acf0b7f9.jsonl,13212,0,0,1,12670,181,361,0,0,0,0,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-05-02T02-05-53-019de541-4568-7fd0-934d-03251bf8289f.jsonl,30558,11,11,1,23117,2079,304,0,457,4596,5,0,0
/Users/rakshithsajjan/.codex/archived_sessions/rollout-2026-05-03T14-06-36-019decfb-7907-7be1-b3f1-2eddf7bb5e65.jsonl,66892,29,29,1,20566,144,2162,0,1753,41882,12,0,373
