percentile,total,setup_context,user_input,assistant_output,edit_diff_input,other_tool_call_input,tool_output,reasoning_summary,compaction_summary,other
0,0,0,0,0,0,0,0,0,0,0
1,3308,3293,0,0,0,0,0,0,0,0
2,3568,3308,0,0,0,0,0,0,0,0
3,4223,3568,0,0,0,0,0,0,0,0
4,5770,4432,0,0,0,0,0,0,0,0
5,7488,5697,0,0,0,0,0,0,0,0
6,8021,6575,0,0,0,0,0,0,0,0
7,8021,6793,0,0,0,0,0,0,0,0
8,8021,6793,0,0,0,0,0,0,0,0
9,8021,6793,0,0,0,0,0,0,0,0
10,8021,6793,0,0,0,0,0,0,0,0
11,8021,6933,0,0,0,0,0,0,0,0
12,8021,7065,0,0,0,0,0,0,0,0
13,8021,7123,0,0,0,0,0,0,0,0
14,8021,7469,0,0,0,0,0,0,0,0
15,8021,7784,0,0,0,0,0,0,0,0
16,8021,7828,0,0,0,0,0,0,0,0
17,8021,7943,0,0,0,0,0,0,0,0
18,8021,8021,0,0,0,0,0,0,0,0
19,8021,8021,0,0,0,0,0,0,0,0
20,8021,8021,0,0,0,0,0,0,0,0
21,8021,8021,0,0,0,0,0,0,0,0
22,8021,8021,0,0,0,0,0,0,0,0
23,8021,8021,0,0,0,0,0,0,0,0
24,8021,8021,0,0,0,0,0,0,0,0
25,8021,8021,0,0,0,0,0,0,0,0
26,8021,8021,0,0,0,0,0,0,0,0
27,8021,8021,0,0,0,0,0,0,0,0
28,8021,8021,0,0,0,0,0,0,0,0
29,8021,8021,0,0,0,0,0,0,0,0
30,8126,8021,0,0,0,0,0,0,0,0
31,8152,8021,0,0,0,0,0,0,0,0
32,8152,8021,0,0,0,0,0,0,0,0
33,8398,8021,0,0,0,0,0,0,0,0
34,8398,8021,0,0,0,0,0,0,0,0
35,8398,8021,0,0,0,0,0,0,0,0
36,8398,8021,0,0,0,0,0,0,0,0
37,8398,8021,0,0,0,0,0,0,0,0
38,8398,8021,0,0,0,0,0,0,0,0
39,8398,8021,0,0,0,0,0,0,0,0
40,8398,8021,0,0,0,0,0,0,0,0
41,8398,8021,0,0,0,0,0,0,0,0
42,8398,8152,0,0,0,0,0,0,0,0
43,8398,8152,0,0,0,0,0,0,0,0
44,8398,8156,0,0,0,0,0,0,0,0
45,8398,8398,34,7,0,0,0,0,0,0
46,8766,8398,43,84,0,0,0,1,0,0
47,9394,8398,60,222,0,0,0,3,0,0
48,9772,8398,69,323,0,0,0,3,0,0
49,11793,8398,80,383,0,0,0,4,0,0
50,14201,8398,90,421,0,101,516,5,0,0
51,15938,8398,105,470,0,174,899,5,0,0
52,17139,8398,117,514,0,227,1417,6,0,0
53,19210,8398,128,583,0,249,2000,6,0,0
54,21459,8398,145,605,0,288,3670,7,0,0
55,23898,8398,160,644,0,302,4510,7,0,0
56,24736,8398,168,712,0,312,5220,8,0,0
57,26443,8398,176,754,0,351,5776,9,0,0
58,26961,8598,183,847,0,395,6384,11,0,0
59,28176,8817,192,960,0,455,6944,12,0,0
60,28572,9424,202,1021,0,526,7536,14,0,0
61,29315,10448,220,1108,0,591,8502,15,0,0
62,30416,10672,240,1153,0,715,9319,17,0,0
63,31946,11168,245,1210,0,812,11280,18,0,0
64,34879,11708,262,1258,0,860,13026,18,0,0
65,37242,12366,262,1371,0,947,15459,19,0,0
66,38249,13248,262,1448,0,1051,17300,20,0,0
67,41080,13814,265,1538,0,1245,19020,22,0,0
68,45105,14504,273,1674,0,1319,20311,22,0,0
69,49978,14661,311,1849,0,1435,24766,24,0,0
70,53102,15486,348,1958,0,1543,26647,26,0,0
71,55107,15607,378,2124,0,1722,27309,29,0,0
72,57042,16183,479,2215,0,1847,29452,34,0,0
73,61744,16483,539,2360,0,2011,33575,38,0,0
74,66256,17608,620,2515,71,2089,36691,43,0,0
75,70426,17952,732,2575,218,2241,39720,46,0,0
76,74843,18896,909,2706,418,2335,41848,59,0,0
77,78801,18896,1125,3039,667,2625,43278,67,0,0
78,83545,18896,1200,3245,1054,2685,48400,77,0,0
79,89144,19183,1379,3376,1205,2837,51549,89,0,0
80,96581,19801,1666,3538,1329,2983,54577,111,0,0
81,99399,20551,1948,4202,1495,3060,59483,126,0,0
82,115388,21049,2079,4957,1738,3275,64933,149,0,0
83,128745,22086,2135,5421,2114,3529,70461,176,0,0
84,139895,22110,2204,5876,2441,3858,73251,193,0,14
85,146373,22237,2262,6904,3143,4216,80668,217,0,23
86,156692,22387,2476,8090,4084,4577,88714,290,0,55
87,177186,22516,2748,8652,4921,5237,95850,313,0,91
88,192703,23181,2830,9077,5830,5932,103166,396,0,107
89,205706,24198,3296,10454,7223,6663,114164,466,0,122
90,245797,27022,4231,12173,8607,8090,129595,492,0,170
91,329699,29436,5096,13252,9662,8685,145926,589,0,234
92,371810,32582,5714,14436,10878,10263,158917,825,0,305
93,420572,36480,7677,16137,12836,12369,197724,965,0,401
94,543783,40424,9856,19087,13724,15290,255328,1170,12391,537
95,577373,46496,12932,23346,17480,17703,334405,1545,21186,663
96,633162,59701,35978,29161,20696,23382,365657,1900,28394,870
97,739774,76726,67742,36477,25557,27007,405052,2653,46722,980
98,1051612,98059,200527,43080,36993,30997,531052,4117,57666,1488
99,2941438,153154,709992,47275,47143,36275,789327,6450,152081,1567
100,8533308,408642,8408804,68314,67148,95947,5367258,28537,1170777,2862
